CID,SMILES
15,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C
241,C1=CC=CC=C1
544,[O-][As]([O-])[O-]
702,CCO
712,C=O
784,OO
985,CCCCCCCCCCCCCCCC(=O)O
1175,C12=C(NC(=O)N1)NC(=O)NC2=O
1207,CC12C3=CC=CC=C3CC(N1)C4=CC=CC=C24
1674,CC1=C2CCC3=C2C(=CC4=C3C=CC5=CC=CC=C54)C=C1
1832,CN(C)CCC1=CNC2=C1C=C(C=C2)OC
1983,CC(=O)NC1=CC=C(C=C1)O
2236,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O
2336,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3
2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
2578,C(CCl)NC(=O)N(CCCl)N=O
2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
2907,C1CNP(=O)(OC1)N(CCCl)CCCl
2995,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31
3007,CC(CC1=CC=CC=C1)N
3019,CC1=NS(=O)(=O)C2=C(N1)C=CC(=C2)Cl
3071,C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43
3117,CCN(CC)C(=S)SSC(=S)N(CC)CC
3121,CCCC(CCC)C(=O)O
3220,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O
3229,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O
3345,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
3385,C1=C(C(=O)NC(=O)N1)F
3386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
3496,C(C(=O)O)NCP(=O)(O)O
3652,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO
3779,CC(C)NCC(C1=CC(=C(C=C1)O)O)O
3902,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3
4091,CN(C)C(=N)N=C(N)N
4095,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
4158,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
4212,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
4624,C1=C(C(=CC(=C1O)O)O)CCN
4829,CCC1=CN=C(C=C1)CCOC2=CC=C(C=C2)CC3C(=O)NC(=O)S3
4891,C1CCC(CC1)C(=O)N2CC3C4=CC=CC=C4CCN3C(=O)C2
4946,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
5073,CC1=C(C(=O)N2CCCCC2=N1)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
5206,C(OC(C(F)(F)F)C(F)(F)F)F
