miRBase,CID,Correlation
MIMAT0000062,21633059,1
MIMAT0000062,46843772,1
MIMAT0000062,444732,1
MIMAT0000062,5757,1
MIMAT0000062,36462,1
MIMAT0000062,162282,1
MIMAT0000062,712,1
MIMAT0000062,3229,1
MIMAT0000062,4091,1
MIMAT0000062,3385,1
MIMAT0000062,14888,1
MIMAT0000062,969516,1
MIMAT0000062,5280795,1
MIMAT0000521,8490,1
MIMAT0000521,5281004,1
MIMAT0000521,16741,1
MIMAT0000774,5743,1
MIMAT0001759,74483,1
MIMAT0000062,3652,1
MIMAT0000062,5865,1
MIMAT0004481,3220,1
MIMAT0004620,6410,1
MIMAT0000062,60750,1
MIMAT0000062,444795,1
MIMAT0000063,60750,1
MIMAT0000063,3229,1
MIMAT0000063,5757,1
MIMAT0000063,36462,1
MIMAT0000063,229455,1
MIMAT0000063,5310940,1
MIMAT0000063,712,1
MIMAT0000063,4091,1
MIMAT0000522,8490,1
MIMAT0000522,12967,1
MIMAT0000775,3028194,1
MIMAT0000775,3121,1
MIMAT0000063,3385,1
MIMAT0000775,3779,1
MIMAT0004482,5311,1
MIMAT0004621,145858,1
MIMAT0004621,689043,1
MIMAT0004621,445858,1
MIMAT0004621,5280343,1
MIMAT0004621,443586,1
MIMAT0000064,60750,1
MIMAT0000064,444795,1
MIMAT0000064,444732,1
MIMAT0000064,5757,1
MIMAT0000064,229455,1
MIMAT0000064,712,1
MIMAT0000064,119307,1
MIMAT0000064,4091,1
MIMAT0000064,6623,1
MIMAT0000523,8490,1
MIMAT0000523,16741,1
MIMAT0000776,3028194,1
MIMAT0000776,3121,1
MIMAT0000776,5743,1
MIMAT0000776,3779,1
MIMAT0001761,74483,1
MIMAT0005439,108065,1
MIMAT0000065,241,1
MIMAT0000065,60750,1
MIMAT0000065,444795,1
MIMAT0000065,5757,1
MIMAT0000065,446220,1
MIMAT0000065,712,1
MIMAT0000065,119307,1
MIMAT0000065,3385,1
MIMAT0000065,14888,1
MIMAT0000065,5280795,1
MIMAT0000065,5394,1
MIMAT0000383,5206,1
MIMAT0000383,8490,1
MIMAT0000562,5743,1
MIMAT0000562,3779,1
MIMAT0000384,210332,1
MIMAT0000563,3779,1
MIMAT0004484,4624,1
